#,ORF,Gene,chan7,chan8,chan9,chan10,chan11,chan12,Avg,Stdev,inter-channel CV,inter-prep CV,MA,Nagal.,Type
204,YBL085W,BOI1,"65,6","64,2","64,8","63,6","62,9","65,2","64,38","1,02","1,1%","4,1%",813,"19,5", Verified ORF
205,YBL086C,YBL086C,"38,1","36,2","40,3","35,8","38,4","36,4","37,53","1,72","5,4%","5,2%",330,"20,5", Uncharacterized ORF
206,YBL088C,TEL1,"49,6","44,6","49,5","51,3","49,3",49,"48,88","2,25","6,0%","2,0%",536,, Verified ORF
207,YBL089W,AVT5,"28,6","28,6","30,6","29,2","31,7","32,9","30,27","1,78","3,9%","5,9%",450,, Verified ORF
208,YBL090W,MRP21,"61,7","59,9","62,2","63,7","63,9","62,8","62,37","1,47","2,0%","2,6%",356,32, Verified ORF
209,YBL091C,MAP2,"364,9","370,1","364,7","356,3","356,3","362,5","362,47","5,39","0,8%","5,5%",1.586,198, Verified ORF
210,YBL091C-A,SCS22,"33,4","37,5","34,1","32,8","35,3","32,9","34,33","1,81","6,3%","6,4%",210,42, Verified ORF
211,YBL092W,RPL32,"749,7","757,3","752,2","734,9","794,6","737,8","754,42","21,48","0,5%","1,3%",9.849,1063, Verified ORF
212,YBL093C,ROX3,"99,2","97,8","98,8","93,1","99,1","94,4","97,07","2,65","0,7%","4,1%",845,"51,5", Verified ORF
213,YBL094C,YBL094C,"11,4","10,3",11,13,"15,2",11,"11,98","1,82","5,1%","7,7%",,, Dubious ORF
214,YBL095W,YBL095W,"39,8","38,7","43,7","37,3",44,"39,3","40,47","2,75","6,5%","3,3%",384,, Uncharacterized ORF
215,YBL096C,YBL096C,"1,2","1,1",1,"1,3","1,6","0,9","1,18","0,25","9,1%","4,7%",,, Dubious ORF
216,YBL097W,BRN1,1,"1,2","1,1","0,8",1,"0,5","0,93","0,25","9,1%","12,4%",20,, Verified ORF
217,YBL098W,BNA4,"58,2","61,6","61,1","58,6","57,9","59,6","59,5","1,55","3,0%","1,9%",606,8, Verified ORF
218,YBL099W,ATP1,"694,3","698,6","704,4","781,9","754,5","763,1","732,8","38,1","0,7%","13,7%",10.781,"319,5", Verified ORF
219,YBL100C,YBL100C,"0,1","0,1",0,0,0,0,"0,03","0,05","86,6%","86,6%",,, Dubious ORF
220,YBL100W-A,YBL100W-A,0,0,0,0,0,0,0,0,N/A,N/A,,, transposable_element_gene
221,YBL100W-B,YBL100W-B,"234,5","224,3","235,1","212,6","208,6",206,"220,18","12,94","2,6%","6,0%",,, transposable_element_gene
222,YBL100W-C,YBL100W-C,"1,4","1,4","1,3","0,8","1,1","0,9","1,15","0,26","4,2%","39,2%",,2, Uncharacterized ORF
223,YBL101C,ECM21,"64,4","67,5","65,4","63,3","65,2","64,6","65,07","1,4","2,4%","2,7%",934,"20,5", Verified ORF
224,YBL102W,SFT2,129,"119,4","126,8","116,5","116,8","123,9","122,07","5,29","4,0%","5,3%",1.746,"49,5", Verified ORF
225,YBL103C,RTG3,"43,8","46,6","47,9","46,7","46,5","47,3","46,47","1,41","4,5%","4,5%",536,17, Verified ORF
226,YBL104C,YBL104C,"27,3","25,3",28,"26,5","26,9","28,6","27,1","1,16","5,2%","3,7%",488,9, Uncharacterized ORF
227,YBL105C,PKC1,"43,4","47,6","43,2","44,1","46,7","44,7","44,95","1,81","5,6%","2,7%",499,"17,5", Verified ORF
228,YBL106C,SRO77,"16,2","18,8","17,4","17,2","17,5","17,4","17,42","0,83","7,5%","11,1%",73,"6,5", Verified ORF
229,YBL107C,YBL107C,"89,6","88,3","88,6","88,7","86,9","93,1","89,2","2,1","0,8%","0,5%",629,53, Uncharacterized ORF
230,YBL107W-A,YBL107W-A,"381,4","372,1",377,"319,6","396,8","332,8","363,28","30,18","1,2%","8,8%",,, Dubious ORF
231,YBL108C-A,YBL108C-A,0,"0,2",0,0,0,0,"0,03","0,08","173,2%",N/A,1.218,, Uncharacterized ORF
232,YBL108W,YBL108W,"2,7",2,"2,3","1,3","2,2","2,5","2,17","0,49","15,1%","39,5%",,1, Dubious ORF
233,YBL109W,YBL109W,"1,7","2,6","1,2","3,3","1,7","1,7","2,03","0,77","38,7%","35,6%",,, Dubious ORF
234,YBL112C,YBL112C,0,0,0,0,0,0,0,0,N/A,N/A,781,, Uncharacterized ORF
235,YBL113C,YBL113C,"1,1",0,"0,3","0,4","0,5","0,4","0,45","0,36","121,8%","45,8%",4.419,, Uncharacterized ORF
236,YBL113W-A,YBL113W-A,0,0,0,0,0,0,0,0,N/A,N/A,,, Dubious ORF
237,YBR001C,NTH2,"24,7","27,7","26,5","28,4","25,1","28,8","26,87","1,72","5,7%","7,4%",273,13, Verified ORF
238,YBR002C,RER2,"56,1","58,1","56,6","54,9","49,3","53,2","54,7","3,12","1,8%","2,2%",631,"18,5", Verified ORF
239,YBR003W,COQ1,"54,1",57,57,"53,8","57,8","52,5","55,37","2,17","3,0%","3,7%",1.019,"52,5", Verified ORF
240,YBR004C,GPI18,"73,9","73,9","71,5","73,8","77,3","73,7","74,02","1,86","1,9%","5,9%",2.007,"25,5", Verified ORF
241,YBR005W,RCR1,"51,3","47,7","49,1",52,"48,6","47,2","49,32","1,94","3,7%","6,7%",259,24, Verified ORF
242,YBR006W,UGA2,"49,3","49,1","46,3","47,9","42,5","47,5","47,1","2,51","3,5%","1,7%",392,"54,5", Verified ORF
243,YBR007C,DSF2,"23,1","24,2","23,1","24,9","22,1","22,8","23,37","1,01","2,7%","4,7%",328,20, Uncharacterized ORF
244,YBR008C,FLR1,"29,9","30,6","32,2","31,8","30,2","27,5","30,37","1,67","3,8%","3,6%",932,10, Verified ORF
245,YBR009C,HHF1,"1502,3","1536,6","1525,6","1333,2","1335,4","1344,2","1429,55","101,4","1,2%","6,0%",3.091,, Verified ORF
246,YBR010W,HHT1,"1635,8",1655,"1664,8","1617,1","1644,9","1617,6","1639,2","19,51","0,9%","3,6%",1.562,631, Verified ORF
247,YBR011C,IPP1,"727,7","729,2","737,1","735,9","750,1","737,6","736,27","7,97","0,7%","1,6%",9.358,295, Verified ORF
248,YBR012C,YBR012C,"152,8","153,3","151,3","163,5","162,3","162,1","157,55","5,63","0,7%","12,8%",,25, Dubious ORF
249,YBR012W-A,YBR012W-A,0,0,0,0,0,0,0,0,N/A,N/A,,, transposable_element_gene
250,YBR012W-B,YBR012W-B,42,"44,6","45,8",41,"38,9","34,7","41,17","4,02","4,4%","3,2%",,, transposable_element_gene
251,YBR013C,YBR013C,"29,5","28,4","27,9","30,7",26,"26,6","28,18","1,76","2,9%","4,1%",50,, Uncharacterized ORF
252,YBR014C,YBR014C,"52,1","46,8","50,8","51,2","46,1","50,5","49,58","2,5","5,5%","7,5%",683,71, Uncharacterized ORF
253,YBR015C,MNN2,"134,1","134,5","127,4","131,6","126,1","129,4","130,52","3,47","3,0%","1,1%",1.593,"48,5", Verified ORF
254,YBR016W,YBR016W,"181,3","171,2","177,7","195,8","187,7","193,9","184,6","9,59","2,9%","13,3%",783,"147,5", Uncharacterized ORF
255,YBR017C,KAP104,"92,7","91,5","88,6","91,1","92,7","92,7","91,55","1,6","2,3%","0,9%",1.478,30, Verified ORF
256,YBR018C,GAL7,"3,4",4,"3,7","5,2","4,4",5,"4,28","0,72","8,1%","22,6%",51,1, Verified ORF
257,YBR019C,GAL10,16,"17,2","16,8","17,1","17,2","14,6","16,48","1,03","3,7%","5,1%",30,3, Verified ORF
258,YBR020W,GAL1,"7,9",7,"7,1","7,2","8,4","7,3","7,48","0,55","6,7%","5,1%",141,1, Verified ORF
259,YBR021W,FUR4,"36,8","35,3","34,1","34,6","33,9","35,7","35,07","1,09","3,8%","3,6%",478,2, Verified ORF
260,YBR022W,POA1,"33,6","33,1","31,9","31,5","29,6","29,8","31,58","1,65","2,7%","7,3%",108,23, Verified ORF
261,YBR023C,CHS3,"102,2","112,2","109,1","105,5","103,7",104,"106,12","3,79","4,7%","7,7%",1.876,6, Verified ORF
262,YBR024W,SCO2,"55,3","50,1","50,7","49,7","50,2","54,6","51,77","2,5","5,5%","11,0%",1.056,"35,5", Verified ORF
263,YBR025C,OLA1,"573,5","570,8","593,6","579,9","561,2","567,6","574,43","11,25","2,2%","2,2%",5.440,"394,5", Verified ORF
264,YBR026C,ETR1,"77,5",78,"74,6","73,8","74,8","69,6","74,72","3,02","2,4%","2,8%",701,43, Verified ORF
265,YBR027C,YBR027C,"6,1","5,1","9,7",6,"5,3","11,1","7,22","2,53","34,7%","1,6%",,, Dubious ORF
266,YBR028C,YBR028C,"60,7","61,7","61,9","61,9","62,3","58,3","61,13","1,49","1,0%","4,6%",673,, Uncharacterized ORF
267,YBR029C,CDS1,105,"108,7","103,4","101,2","109,9","110,6","106,47","3,83","2,6%","1,9%",1.077,32, Verified ORF
268,YBR030W,YBR030W,"35,1","33,5",32,"30,9","35,7","31,9","33,18","1,92","4,6%","9,0%",300,16, Uncharacterized ORF
269,YBR031W,RPL4A,"2080,8","2067,2","2060,6","1960,9","1918,1","1931,8","2003,23","74,22","0,5%","6,8%",15.658,1376, Verified ORF
270,YBR032W,YBR032W,"32,4","33,5","32,7","36,5","43,6","32,7","35,23","4,37","1,7%","7,9%",,"5,5", Dubious ORF
271,YBR033W,EDS1,"18,2","17,3","16,4","18,1",17,"17,8","17,47","0,7","5,2%","3,0%",194,2, Uncharacterized ORF
272,YBR034C,HMT1,215,"201,8","216,4","208,7","208,2","206,2","209,38","5,48","3,8%","2,6%",2.162,86, Verified ORF
273,YBR035C,PDX3,"209,1","201,3","201,8","200,6","206,3","203,1","203,7","3,32","2,1%","5,9%",1.604,38, Verified ORF
274,YBR036C,CSG2,105,106,"107,4","105,6","108,4","110,5","107,15","2,06","1,1%","4,9%",1.472,"105,5", Verified ORF
275,YBR037C,SCO1,"21,5","24,7","22,8","25,4","25,6","25,6","24,27","1,72","7,0%","8,5%",411,"9,5", Verified ORF
276,YBR038W,CHS2,"53,3",58,57,"57,3","59,8","54,7","56,68","2,34","4,4%","5,4%",607,16, Verified ORF
277,YBR039W,ATP3,"232,5","234,7",237,"244,3","239,4","244,1","238,67","4,86","1,0%","3,9%",2.357,74, Verified ORF
278,YBR040W,FIG1,"65,8",58,59,"58,2","59,8","56,5","59,55","3,25","7,0%","8,0%",1.192,3, Verified ORF
279,YBR041W,FAT1,"76,2",74,"80,3","76,7","76,6","76,6","76,73","2,03","4,2%","1,4%",1.232,14, Verified ORF
280,YBR042C,CST26,"52,7","54,6","55,6","58,1","56,9","57,4","55,88","2,01","2,7%","4,9%",815,"31,5", Verified ORF
281,YBR043C,QDR3,"61,2","63,4",62,"64,5",61,"57,3","61,57","2,48","1,8%","2,8%",1.258,14, Verified ORF
282,YBR044C,TCM62,35,"34,3","34,2","33,9","33,9","34,2","34,25","0,4","1,3%","2,0%",569,12, Verified ORF
283,YBR045C,GIP1,"12,7","13,9","11,5","12,7","13,1","12,4","12,72","0,79","9,4%","0,9%",166,2, Verified ORF
284,YBR046C,ZTA1,"64,2","62,6","62,1","67,4",64,"65,2","64,25","1,91","1,7%","2,7%",623,38, Verified ORF
285,YBR047W,YBR047W,"61,8","59,3","61,9","63,2","67,2","71,2","64,1","4,34","2,4%","1,5%",569,"19,5", Uncharacterized ORF
286,YBR049C,REB1,70,72,68,"68,6","68,3",68,"69,15","1,58","2,9%","1,3%",465,20, Verified ORF
287,YBR050C,REG2,14,"15,5","13,6","13,5","13,6","14,6","14,13","0,78","7,0%","6,1%",334,3, Verified ORF
288,YBR051W,YBR051W,2,"1,8","2,1","1,5","1,4","1,5","1,72","0,29","7,8%","14,5%",,1, Dubious ORF
289,YBR052C,RFS1,"185,3","180,9","183,1","192,1","195,5","188,3","187,53","5,54","1,2%","2,5%",2.217,"161,5", Verified ORF
290,YBR053C,YBR053C,"59,8","58,3","60,4","59,2","58,5","57,9","59,02","0,96","1,8%","0,6%",1.279,68, Uncharacterized ORF
291,YBR054W,YRO2,"70,6","75,1","72,6","74,7","81,1","74,8","74,82","3,53","3,1%","3,0%",1.571,"143,5", Verified ORF
292,YBR055C,PRP6,"38,9",42,"43,4",45,"42,1",45,"42,73","2,3","5,6%","11,8%",1.133,"35,5", Verified ORF
293,YBR056C-B,YBR056C-B,"0,6","0,5","0,8","0,6","0,4","0,8","0,62","0,16","24,1%","17,3%",,, Dubious ORF
294,YBR056W,YBR056W,"69,2","70,3","69,4","67,9","66,4","69,6","68,8","1,41","0,8%","2,4%",740,62, Uncharacterized ORF
295,YBR056W-A,YBR056W-A,"17,5","15,9",17,"18,4",17,"19,3","17,52","1,19","4,9%","6,1%",210,, Dubious ORF
296,YBR057C,MUM2,"66,5","65,9","67,5","62,5","65,4","68,7","66,08","2,12","1,2%","3,2%",613,"10,5", Verified ORF
297,YBR058C,UBP14,"51,1","49,7","47,9","46,8","56,3","54,6","51,07","3,74","3,2%","7,7%",511,39, Verified ORF
298,YBR058C-A,TSC3,"238,1","240,4","237,4","208,5","215,6","209,6","224,93","15,23","0,7%","7,2%",790,"183,5", Verified ORF
299,YBR059C,AKL1,"67,1",66,"69,9","62,2","67,3","68,4","66,82","2,62","3,0%","3,8%",773,22, Verified ORF
300,YBR060C,ORC2,"55,8",56,"53,6","55,8","52,5","55,6","54,88","1,47","2,4%","0,0%",993,21, Verified ORF
301,YBR061C,TRM7,"66,6","64,5",64,65,"66,8","65,1","65,33","1,13","2,1%","2,5%",546,"18,5", Verified ORF
302,YBR062C,YBR062C,"42,1",38,"41,4","38,6","42,5","42,9","40,92","2,1","5,4%","4,4%",998,"39,5", Uncharacterized ORF
303,YBR063C,YBR063C,"19,9","20,6","19,5","19,3","20,5","20,4","20,03","0,55","2,8%","1,6%",502,19, Uncharacterized ORF
304,YBR064W,YBR064W,"0,2",0,0,"0,1","0,1","0,2","0,1","0,09","173,2%","50,0%",,, Dubious ORF
305,YBR065C,ECM2,"13,7",14,"13,3","14,8","13,3","14,8","13,98","0,69","2,6%","6,2%",163,3, Verified ORF
306,YBR066C,NRG2,"30,2","33,2","31,9","28,3","30,1","27,1","30,13","2,24","4,7%","14,2%",111,"16,5", Verified ORF
307,YBR067C,TIP1,"163,3","165,7","161,1","171,5","170,1",171,"167,12","4,38","1,4%","2,5%",1.530,277, Verified ORF
308,YBR068C,BAP2,"219,3","215,5","216,8","227,3","235,7","224,6","223,2","7,62","0,9%","1,9%",2.495,105, Verified ORF
309,YBR069C,TAT1,119,"118,9","115,5","122,4","119,1","120,3","119,2","2,25","1,7%","2,8%",2.407,"13,5", Verified ORF
310,YBR070C,ALG14,"28,9","30,1",31,"29,9","30,7","28,6","29,87","0,96","3,5%","6,1%",341,26, Verified ORF
311,YBR071W,YBR071W,"30,3","29,5","29,4","30,2","28,1","29,1","29,43","0,8","1,7%","4,0%",252,"19,5", Uncharacterized ORF
312,YBR072C-A,YBR072C-A,"4,2","4,9","5,1","4,3","4,8","4,2","4,58","0,4","10,0%","20,9%",2,5, Uncharacterized ORF
313,YBR072W,HSP26,"55,6","50,8","53,4","48,7","50,5","54,3","52,22","2,63","4,5%","8,4%",324,190, Verified ORF
314,YBR073W,RDH54,"67,2","65,7","69,1","63,6","65,7","69,2","66,75","2,18","2,5%","5,9%",1.468,18, Verified ORF
315,YBR074W,YBR074W,63,"62,6","60,4","62,7","59,3",62,"61,67","1,49","2,3%","2,4%",1.050,"31,5", Uncharacterized ORF
316,YBR076C-A,YBR076C-A,"54,7",56,55,57,59,"56,9","56,43","1,57","1,2%","3,1%",,, Dubious ORF
317,YBR076W,ECM8,"2,7","4,6","2,9","3,8","2,5","3,3","3,3","0,79","30,7%","17,4%",50,, Verified ORF
318,YBR077C,SLM4,"35,5","34,4","36,1","35,5","38,7","36,1","36,05","1,44","2,4%","1,8%",525,"23,5", Verified ORF
319,YBR079C,RPG1,232,"228,4","233,3","228,5","214,8","233,4","228,4","7,03","1,1%","1,8%",3.184,"40,5", Verified ORF
320,YBR080C,SEC18,"94,7","89,4","89,3","92,2","87,1","87,5","90,03","2,91","3,4%","2,7%",1.484,28, Verified ORF
321,YBR081C,SPT7,"40,8","49,5","45,3","45,8","46,4",47,"45,8","2,85","9,6%","5,8%",806,22, Verified ORF
322,YBR083W,TEC1,86,"89,7","91,9","91,5","94,3","88,3","90,28","2,93","3,3%","3,1%",1.450,"10,5", Verified ORF
323,YBR084W,MIS1,"162,3","161,6","167,4","161,3","161,9","166,1","163,43","2,62","1,9%","3,8%",1.673,"76,5", Verified ORF
324,YBR085C-A,YBR085C-A,"205,5","199,4","198,5","210,9","198,1","211,4","203,97","6,18","1,9%","3,5%",476,90, Uncharacterized ORF
325,YBR085W,AAC3,"50,9",47,"52,8","49,9",50,"51,9","50,42","2,01","5,9%","2,1%",698,15, Verified ORF
326,YBR086C,IST2,"167,1","169,8","171,5","168,9","178,9","172,5","171,45","4,12","1,3%","1,7%",4.096,32, Verified ORF
327,YBR087W,RFC5,"75,9","75,4","74,5",79,"78,8","75,7","76,55","1,88","0,9%","2,6%",550,40, Verified ORF
328,YBR088C,POL30,"251,5","251,9","244,8","257,1","250,4","257,6","252,22","4,73","1,6%","4,0%",2.150,74, Verified ORF
329,YBR089C-A,NHP6B,"57,1","57,2",57,"52,8","57,2",53,"55,72","2,18","0,2%","6,4%",815,102, Verified ORF
330,YBR089W,YBR089W,"1,1","1,3",1,"1,3",1,"0,9","1,1","0,17","13,5%","12,1%",,, Dubious ORF
331,YBR091C,MRS5,"54,5","58,7","55,6","55,5",53,"50,9","54,7","2,64","3,9%","9,0%",308,, Verified ORF
332,YBR092C,PHO3,"273,3","283,5","283,5","278,8","301,6",283,"283,95","9,52","2,1%","4,2%",2.297,"157,5", Verified ORF
333,YBR093C,PHO5,5,"5,9","5,7",6,"6,4","5,2","5,7","0,52","8,5%","16,8%",199,108, Verified ORF
334,YBR094W,PBY1,"47,8","49,7","49,2","49,4","50,3","54,8","50,2","2,4","2,0%","8,6%",964,11, Verified ORF
335,YBR095C,RXT2,"51,2","50,6","50,9","49,2","46,2","49,4","49,58","1,84","0,6%","7,3%",555,9, Verified ORF
336,YBR096W,YBR096W,"120,2","123,6","121,2","116,3","117,8","122,2","120,22","2,74","1,4%","3,7%",1.374,"81,5", Uncharacterized ORF
337,YBR097W,VPS15,"33,6","32,3",33,"33,2",35,34,"33,52","0,93","2,0%","0,7%",478,4, Verified ORF
338,YBR098W,MMS4,"11,6",11,"9,2","11,3","10,9","11,4","10,9","0,87","11,8%","2,6%",218,"13,5", Verified ORF
339,YBR099C,YBR099C,"6,3","5,5","6,9","5,6","6,3","6,5","6,18","0,54","11,3%","7,5%",,, Dubious ORF
340,YBR101C,FES1,"84,2","84,5",83,"91,5","83,2","88,4","85,8","3,41","0,9%","7,5%",2.102,"645,5", Verified ORF
341,YBR102C,EXO84,36,"38,2","34,7","35,2","37,3","36,2","36,27","1,3","4,9%","6,8%",323,26, Verified ORF
342,YBR103C-A,YBR103C-A,"1,2","0,8","0,8","0,7","1,5","1,1","1,02","0,31","24,7%","27,0%",,, Dubious ORF
343,YBR103W,SIF2,"26,3","24,9",27,"25,8","25,6","27,8","26,23","1,04","4,1%","6,8%",720,, Verified ORF
344,YBR104W,YMC2,"88,1","87,6","84,8","86,7","81,6","87,4","86,03","2,46","2,0%","3,4%",1.045,"13,5", Verified ORF
345,YBR105C,VID24,"230,2","213,4","224,3",220,"214,3",221,"220,53","6,29","3,8%","2,7%",1.370,"46,5", Verified ORF
346,YBR106W,PHO88,"788,4",769,787,"816,9","824,6",824,"801,65","23,3","1,4%","1,8%",5.152,"182,5", Verified ORF
347,YBR107C,IML3,"10,2","10,6","10,6","10,3","11,2","11,6","10,75","0,54","2,2%","8,3%",157,"12,5", Verified ORF
348,YBR108W,YBR108W,27,"24,7","27,9","28,4","29,2","29,1","27,72","1,69","6,2%","3,0%",141,20, Uncharacterized ORF
349,YBR109C,CMD1,"332,6","322,4","334,2",367,357,"350,2","343,9","16,91","1,9%","5,1%",1.930,334, Verified ORF
350,YBR109W-A,YBR109W-A,"0,5","1,4","1,7","0,7","0,9","1,3","1,08","0,46","52,0%","73,3%",,, Dubious ORF
351,YBR110W,ALG1,"72,4","68,2","71,5","67,4","67,5","69,9","69,48","2,13","3,1%","3,7%",934,29, Verified ORF
352,YBR111C,YSA1,"162,1",166,"160,5","172,9","160,7",170,"165,37","5,19","1,7%","3,8%",2.699,476, Verified ORF
353,YBR112C,CYC8,"127,3",130,"133,4","142,8","131,7","141,3","134,42","6,26","2,3%","10,4%",1.033,"28,5", Verified ORF
354,YBR113W,YBR113W,"0,2","0,3","0,5","0,1","0,3","0,7","0,35","0,22","45,8%","34,6%",,"4,5", Dubious ORF
355,YBR114W,RAD16,"54,2","47,2","51,8","50,2","50,8","51,7","50,98","2,3","7,0%","5,0%",897,"9,5", Verified ORF
356,YBR115C,LYS2,"307,5","309,3",320,"301,6",303,307,"308,07","6,52","2,2%","2,1%",3.083,26, Verified ORF
357,YBR116C,YBR116C,"0,7","0,8","1,6","0,8","0,9","1,8","1,1","0,47","47,7%","7,5%",,1, Dubious ORF
358,YBR117C,TKL2,"2,7","3,2",2,"2,2",3,"1,6","2,45","0,62","22,9%","12,2%",46,, Verified ORF
359,YBR118W,TEF2,"6210,4","6203,8","6245,7","6238,8","6137,6","6191,1","6204,57","38,9","0,4%","2,5%",25.615,"1294,5", Verified ORF
360,YBR120C,CBP6,39,"34,8","36,8",38,"37,5",42,"38,02","2,41","5,7%","4,4%",477,76, Verified ORF
361,YBR121C,GRS1,"504,9",514,"498,9",517,"506,9","512,4","509,02","6,69","1,5%","8,1%",7.833,239, Verified ORF
362,YBR121C-A,YBR121C-A,0,0,0,0,0,0,0,0,N/A,N/A,,, Dubious ORF
363,YBR122C,MRPL36,"74,3","71,8","73,9","72,1","70,6","74,2","72,82","1,53","1,8%","7,5%",586,54, Verified ORF
364,YBR123C,TFC1,38,"39,6","35,9","36,9","38,1","39,6","38,02","1,47","4,9%","11,0%",738,11, Verified ORF
365,YBR124W,YBR124W,"0,3","0,2","0,3","0,7","0,4","0,5","0,4","0,18","21,7%","39,0%",,1, Dubious ORF
366,YBR125C,PTC4,"75,8","79,6","76,2",71,"70,2","69,6","73,73","4,05","2,7%","4,3%",921,"6,5", Verified ORF
367,YBR126C,TPS1,"201,1","191,8","193,1","194,7","193,4","197,8","195,32","3,49","2,6%","4,8%",2.063,196, Verified ORF
368,YBR126W-A,YBR126W-A,"127,7","129,9",128,"123,7","130,9",122,"127,03","3,49","0,9%","3,8%",,, Dubious ORF
369,YBR126W-B,YBR126W-B,"129,3","129,9",128,"125,5","129,1","120,2",127,"3,68","0,8%","3,7%",,, Dubious ORF
370,YBR127C,VMA2,"590,7","590,7","585,8","571,7","555,7",578,"578,77","13,54","0,5%","1,8%",4.672,"108,5", Verified ORF
371,YBR128C,ATG14,"8,8","9,6","9,2","8,2","7,6","10,1","8,92","0,92","4,3%","7,9%",148,"4,5", Verified ORF
372,YBR129C,OPY1,"43,2","46,4","48,1","46,3","49,4","46,4","46,63","2,09","5,4%","5,9%",386,19, Verified ORF
373,YBR130C,SHE3,64,65,"69,5","65,4","69,1","70,8","67,3","2,83","4,4%","3,9%",1.115,"10,5", Verified ORF
374,YBR131C-A,YBR131C-A,0,0,0,"0,1","0,1",0,"0,03","0,05",N/A,"173,2%",,, Dubious ORF
375,YBR131W,CCZ1,43,"40,4",36,41,"40,8","36,8","39,67","2,7","8,9%","2,4%",552,7, Verified ORF
376,YBR132C,AGP2,"12,9","11,8","12,8","16,2","17,1","15,5","14,38","2,16","4,9%","11,5%",203,5, Verified ORF
377,YBR133C,HSL7,"67,5","66,2","66,5","68,6","66,8","69,1","67,45","1,18","1,0%","3,4%",641,20, Verified ORF
378,YBR134W,YBR134W,"0,8","0,7","0,9","0,4","0,7","0,9","0,73","0,19","12,5%","32,9%",,1, Dubious ORF
379,YBR135W,CKS1,84,"83,9","79,2","85,3","87,8","85,2","84,23","2,84","3,3%","4,0%",360,"23,5", Verified ORF
380,YBR136W,MEC1,"26,1","24,7","24,2","27,9","28,7","26,3","26,32","1,75","3,9%","7,1%",245,"5,5", Verified ORF
381,YBR137W,YBR137W,"83,2","87,6","85,4","89,5","81,6","87,8","85,85","3,02","2,6%","3,7%",652,57, Uncharacterized ORF
382,YBR138C,YBR138C,"13,9","14,2","12,7","14,4","14,3","13,8","13,88","0,62","5,8%","4,5%",187,8, Uncharacterized ORF
383,YBR139W,YBR139W,"77,6","73,7","77,4","76,2","73,8","74,8","75,58","1,74","2,9%","1,2%",1.085,"15,5", Verified ORF
384,YBR140C,IRA1,"88,1","90,7","88,5",86,90,"86,6","88,32","1,84","1,6%","6,8%",937,22, Verified ORF
385,YBR141C,YBR141C,"33,5","30,5","34,6","36,5","34,7","31,2","33,5","2,28","6,5%","6,7%",511,"4,5", Uncharacterized ORF
386,YBR141W-A,YBR141W-A,"6,5","6,1","7,7","6,3","6,4","6,4","6,57","0,57","12,3%","6,8%",,, Dubious ORF
387,YBR142W,MAK5,"75,1","79,2","74,4","80,7","78,8",88,"79,37","4,89","3,4%","18,3%",2.218,"28,5", Verified ORF
388,YBR143C,SUP45,"358,2","363,7","355,5","361,4",364,"361,9","360,78","3,32","1,2%","4,7%",4.688,149, Verified ORF
389,YBR144C,YBR144C,"7,4","8,2","6,3","6,9","7,6",8,"7,4","0,71","13,1%","10,8%",,"2,5", Dubious ORF
390,YBR145W,ADH5,"188,8","192,9",201,"197,1","197,2","199,3","196,05","4,47","3,2%","3,7%",1.565,"66,5", Verified ORF
391,YBR146W,MRPS9,"78,5","77,6","78,8","79,4","81,4","75,6","78,55","1,92","0,8%","7,5%",1.210,90, Verified ORF
392,YBR147W,YBR147W,"93,7","96,1","94,1","99,6","96,6",105,"97,52","4,23","1,4%","7,2%",2.401,10, Uncharacterized ORF
393,YBR148W,YSW1,"23,4","22,4","21,3","24,5","25,3",23,"23,32","1,44","4,7%","7,6%",262,"3,5", Verified ORF
394,YBR149W,ARA1,"143,3",132,"139,3","146,5","139,6","137,3","139,67","4,99","4,1%","2,8%",1.761,"173,5", Verified ORF
395,YBR150C,TBS1,"35,1","35,7","32,3","32,8","31,6","34,5","33,67","1,66","5,3%","8,1%",560,64, Verified ORF
396,YBR151W,APD1,"101,9","101,3","98,4",102,"97,7","98,7",100,"1,94","1,9%","3,9%",1.105,"107,5", Verified ORF
397,YBR152W,SPP381,9,"9,2","8,1","8,7","7,8","8,9","8,62","0,55","6,7%","7,4%",56,3, Verified ORF
398,YBR153W,RIB7,"41,2","42,7","42,4","40,4","41,8","42,3","41,8","0,86","1,9%","1,9%",447,"12,5", Verified ORF
399,YBR154C,RPB5,"267,5","265,6","263,9","267,8","260,9","272,7","266,4",4,"0,7%","0,1%",2.111,80, Verified ORF
400,YBR155W,CNS1,"84,8",91,"88,9","89,5",87,"95,3","89,42","3,59","3,6%","8,0%",825,"10,5", Verified ORF
401,YBR156C,SLI15,"22,5","23,6","22,1","19,9","20,4","21,3","21,63","1,38","3,4%","7,1%",420,8, Verified ORF
402,YBR157C,ICS2,"10,3",11,"11,8","13,4","12,8","11,9","11,87","1,13","6,8%","19,0%",195,"26,5", Verified ORF
403,YBR158W,AMN1,"175,1","180,9",173,"166,7","180,8","169,9","174,4","5,75","2,3%","2,9%",4.001,"99,5", Verified ORF
404,YBR159W,YBR159W,221,"216,9","219,8","216,7","211,1","222,2","217,95","4,01","1,0%","1,3%",3.851,"46,5", Verified ORF
405,YBR160W,CDC28,"57,9",57,"55,4",54,"56,7",56,"56,17","1,36","2,2%","4,1%",800,26, Verified ORF
406,YBR161W,CSH1,"30,4","31,1","30,6","34,7","32,3","33,7","32,13","1,76","1,2%","6,7%",408,12, Verified ORF
