"ORF"	"Gene"	"Expression"
"YCL040W"	"GLK1"	"5.04"
"YCL042W"	"YCL042W"	"5.8"
"YCL043C"	"PDI1"	"44.97"
"YCL044C"	"YCL044C"	"2.54"
"YCL045C"	"YCL045C"	"3.4"
"YCL047C"	"YCL047C"	"1.17"
"YCL048W"	"YCL048W"	"0.1"
"YCL049C"	"YCL049C"	"1.21"
"YCL050C"	"APA1"	"33.14"
"YCL051W"	"LRE1"	"0.58"
"YCL052C"	"PBN1"	"1.97"
"YCL055W"	"KAR4"	"1.03"
"YCL056C"	"YCL056C"	"1.87"
"YCL057W"	"PRD1"	"4.16"
"YCL058C"	"YCL058C"	"7.89"
"YCL059C"	"KRR1"	"4.62"
"YCL061C"	"YCL061C"	"1.01"
"YCL063W"	"YCL063W"	"0.91"
"YCL073C"	"YCL073C"	"0.05"
"YCL074W"	"YCL074W"	"0.33"
"YCL075W"	"YCL075W"	"0.25"
"YCL076W"	"YCL076W"	"0.15"
"YCR002C"	"CDC10"	"3.02"
"YCR003W"	"MRPL32"	"0.8"
"YCR005C"	"CIT2"	"2.08"
"YCR007C"	"YCR007C"	"0.31"
"YCR008W"	"SAT4"	"3.26"
"YCR009C"	"RVS161"	"7.24"
"YCR010C"	"YCR010C"	"0.2"
"YCR011C"	"ADP1"	"1.31"
"YCR012W"	"PGK1"	"176.71"
"YCR014C"	"POL4"	"0.3"
"YCR015C"	"YCR015C"	"0.66"
"YCR016W"	"YCR016W"	"1.41"
"YCR017C"	"YCR017C"	"1.37"
"YCR019W"	"MAK32"	"0.89"
"YCR020C"	"PET18"	"0.76"
"YCR021C"	"HSP30"	"3.12"
"YCR022C"	"YCR022C"	"0.19"
"YCR023C"	"YCR023C"	"0.68"
"YCR024C"	"YCR024C"	"0.39"
"YCR025C"	"YCR025C"	"0.25"
"YCR026C"	"YCR026C"	"1.45"
"YCR030C"	"YCR030C"	"3.58"
"YCR031C"	"RPS14A"	"327.71"
"YCR032W"	"BPH1"	"2.11"
"YCR033W"	"YCR033W"	"1.97"
"YCR035C"	"RRP43"	"2.54"
"YCR036W"	"RBK1"	"3.05"
"YCR037C"	"PHO87"	"1.28"
"YCR041W"	"YCR041W"	"0.91"
"YCR042C"	"TSM1"	"1.48"
"YCR043C"	"YCR043C"	"4.17"
"YCR044C"	"YCR044C"	"5.81"
"YCR045C"	"YCR045C"	"0.93"
"YCR046C"	"IMG1"	"2.48"
"YCR047C"	"YCR047C"	"2.74"
"YCR051W"	"YCR051W"	"13.23"
"YCR052W"	"RSC6"	"2.98"
"YCR053W"	"THR4"	"13.49"
"YCR054C"	"CTR86"	"0.88"
"YCR057C"	"PWP2"	"3.97"
"YCR059C"	"YCR059C"	"4.65"
"YCR060W"	"YCR060W"	"9.05"
"YCR061W"	"YCR061W"	"1.66"
"YCR062W"	"YCR062W"	"2.37"
"YCR064C"	"YCR064C"	"0.13"
"YCR065W"	"HCM1"	"1.2"
"YCR066W"	"RAD18"	"0.85"
"YCR067C"	"SED4"	"2.66"
"YCR068W"	"YCR068W"	"0.41"
"YCR069W"	"SCC3"	"4.54"
"YCR071C"	"IMG2"	"1.58"
"YCR072C"	"YCR072C"	"1.61"
"YCR075C"	"ERS1"	"1.02"
"YCR076C"	"YCR076C"	"1.15"
"YCR077C"	"PAT1"	"3.22"
"YCR081W"	"SRB8"	"0.26"
"YCR082W"	"YCR082W"	"10.48"
"YCR084C"	"TUP1"	"7.94"
"YCR086W"	"YCR086W"	"1.07"
"YCR087W"	"YCR087W"	"4.85"
"YCR088W"	"ABP1"	"7.21"
"YCR089W"	"FIG2"	"0.83"
"YCR090C"	"YCR090C"	"2.29"
"YCR092C"	"MSH3"	"0.32"
"YCR093W"	"CDC39"	"2.18"
"YCR094W"	"CDC50"	"2.03"
"YCR095C"	"YCR095C"	"0.77"
