mRNA half lifes [min],,,,,
orf,median,sd,mean,cv,95%-confidence
YBR029C,9.54900040084448,1.25304535825821,9.67128792279307,0.129563442662591,7.57 - 12.3
YBR030W,5.85884724193765,1.14699490367281,6.13640380535235,0.186916464440031,4.43 - 8.57
YBR031W,34.5122862268062,5.83209347690369,34.4230718504536,0.169423969546949,24 - 46.5
YBR033W,9.87992116494608,3.01563152273162,10.1209947295059,0.297958017302399,6.05 - 16
YBR034C,11.7243731526231,1.59694741652104,11.6958240616815,0.136539965726147,9.1 - 14.8
YBR035C,44.4056877632606,8.0615927017665,44.6628513544656,0.180498836444316,31.3 - 61.5
YBR036C,11.5203299258408,2.0807461498666,11.5780980781662,0.179713985476634,8.25 - 15.7
YBR037C,6.00958859269727,1.01864718931208,6.25137534626309,0.162947692769881,4.38 - 8
YBR038W,6.80987731235341,1.68909501720592,7.0055572328498,0.241107874943277,4.09 - 11.1
YBR039W,24.8624167321681,3.34441117170952,25.0692092460776,0.13340712660224,19.9 - 31.2
YBR040W,140.314258480528,1332.23472524291,407.995259843328,3.26531912589988,39.7 - 1040
YBR041W,13.912917686297,4.57169959521102,14.6966820281662,0.311070184851884,8.08 - 23.4
YBR042C,13.6637211314509,2.67576391083482,13.995394873968,0.191188882838301,9.9 - 18.9
YBR043C,3.42244831371492,0.909638497032811,3.50133376123087,0.259797711119386,2.17 - 5.92
YBR044C,6.12684485975665,1.31443730693521,6.00485444147041,0.218895781695808,3.92 - 8.16
YBR045C,6.8579822075528,2.20866744941079,7.09435540400218,0.311327431970042,3.54 - 12.3
YBR046C,23.9372334343381,4.95898493325272,24.0084751658305,0.206551432317138,16 - 32.6
YBR047W,9.73998876119914,1.94577110159352,9.55616296000806,0.203614265446964,5.77 - 13.5
YBR048W,38.8229067948584,11.945032537649,41.2133319464322,0.289834186500008,24.2 - 70.1
YBR049C,6.26003228919307,1.28936304409062,6.37091859850573,0.202382595877624,4.43 - 9.46
YBR050C,7.40131027942067,1.7135525814194,7.60403265091399,0.225347872646685,4.43 - 10.7
YBR052C,29.7467832927751,7.22639127726722,31.2036276336604,0.231588178211429,21.5 - 44.2
YBR053C,26.2221066817861,12.711919607361,29.7161355760059,0.427778355461037,18.3 - 69.1
YBR054W,19.5573006869827,7.32418942600486,20.7874746393972,0.352336662007215,9.25 - 36.6
YBR055C,6.91032208822506,1.3726230525258,6.6218773200659,0.207286089152757,4.19 - 8.72
